DataId,时间,分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,账单图片
qj165659401584418058,2022/6/30 21:00,聚会,支出,42,CNY,,,披萨,,,,,null,
qj165658025951419295,2022/6/30 17:10,住房,支出,1000,CNY,,,租房,,,,,null,
qj165657373122911152,2022/6/30 15:22,地铁,支出,7,CNY,,,龙胜,,,,,null,
qj165657372370911775,2022/6/30 15:21,地铁,支出,7,CNY,,,前海,,,,,null,
qj165650981563912358,2022/6/29 21:36,购物,支出,28,CNY,,,朴朴,,,,,null,
qj165650792024813422,2022/6/29 21:05,外卖,支出,16,CNY,,,拌饭,,,,,null,
qj165648478466710483,2022/6/29 14:39,话费网费,支出,100,CNY,,,话费,,,,,null,
qj165648448191214133,2022/6/29 14:34,外卖,支出,18,CNY,,,披萨,,,,,null,
qj165646726483917924,2022/6/29 9:47,三餐,支出,15,CNY,,,冒菜,,,,,null,
qj165640343497318109,2022/6/28 16:03,外卖,支出,10,CNY,,,米线,,,,,null,
qj165637996539616841,2022/6/28 9:32,外卖,支出,16,CNY,,,肠粉,,,,,null,
qj165625367663017248,2022/6/26 22:27,外卖,支出,16,CNY,,,汉堡,,,,,null,
qj165625366265716243,2022/6/26 22:27,付费会员,支出,14,CNY,,,美团红包,,,,,null,
qj165614951448410741,2022/6/25 17:31,外卖,支出,20,CNY,,,闷饭,,,,,null,
qj165607363910411214,2022/6/24 20:27,外卖,支出,12,CNY,,,炒饭,,,,,null,
qj165605314761917797,2022/6/24 14:45,水果,支出,4,CNY,,,龙胜,,,,,null,
qj165605311237415854,2022/6/24 14:44,电器数码,支出,4,CNY,,,上梅林,,,,,null,
qj165604431512411054,2022/6/24 12:18,付费会员,支出,7,CNY,,,qq音乐,,,,,null,
qj165604203916010542,2022/6/24 11:40,购物,支出,26,CNY,,,朴朴,,,,,null,
qj165597796213111891,2022/6/23 17:52,外卖,支出,21,CNY,,,猪扒饭,,,,,null,
qj165596981687214387,2022/6/23 15:36,地铁,支出,7,CNY,,,龙胜,,,,,null,
qj165596149423611555,2022/6/23 13:17,午餐,支出,33,CNY,,,陕西面馆,,,,,null,
qj165596147117416079,2022/6/23 13:17,地铁,支出,7,CNY,,,南山科技园,,,,,null,
qj165588547556013690,2022/6/22 16:11,办公用品,支出,9,CNY,,,简历,,,,,null,
qj165588546690416809,2022/6/22 16:10,理发,支出,36,CNY,,,,,,,,null,
